temperature,humidity,activity,heart_rate,disease
39.05,61.28,8,129,sick
38.6,47.64,8,104,healthy
39.15,58.95,9,106,healthy
39.77,49.44,3,85,healthy
38.54,77.33,0,73,sick
38.54,82.91,2,113,sick
39.81,47.89,8,105,healthy
39.24,83.2,3,90,healthy
38.37,65.9,4,118,sick
39.08,56.98,6,88,healthy
38.38,48.07,4,76,healthy
38.37,65.02,3,73,healthy
38.87,76.78,1,95,sick
37.36,73.28,1,117,sick
37.49,47.01,3,83,healthy
38.31,47.92,9,122,sick
37.99,61.11,9,84,healthy
38.92,56.81,8,118,sick
38.06,54.3,7,91,healthy
37.71,56.24,2,77,healthy
39.73,77.14,8,96,healthy
38.54,82.17,4,85,healthy
38.75,61.2,2,68,healthy
37.7,81.24,4,123,sick
38.32,57.86,9,79,healthy
38.78,64.06,3,113,sick
37.89,54.04,7,89,healthy
38.96,70.62,4,112,sick
38.28,84.16,9,122,sick
38.5,69.14,7,70,healthy
38.28,59.31,8,90,healthy
40.0,70.91,3,108,healthy
38.69,49.92,6,78,healthy
37.96,80.55,1,71,sick
39.28,65.12,5,74,healthy
37.85,62.97,7,90,healthy
38.85,68.43,6,102,healthy
37.33,69.99,6,96,healthy
37.77,47.87,7,88,healthy
38.84,72.3,6,85,healthy
39.22,54.68,4,61,healthy
38.82,73.56,6,74,healthy
38.62,77.9,9,63,healthy
38.49,77.16,2,109,healthy
37.67,67.1,4,97,healthy
38.2,65.81,6,82,healthy
38.38,50.72,8,118,sick
39.44,76.01,1,87,sick
38.94,55.86,3,125,sick
37.47,64.87,6,67,healthy
38.93,56.37,0,88,sick
38.43,50.35,1,70,sick
38.23,70.18,8,77,healthy
39.13,47.17,9,114,sick
39.42,74.95,6,109,healthy
39.35,57.7,9,73,healthy
38.11,45.01,6,68,healthy
38.48,65.45,5,70,healthy
38.93,46.87,2,122,sick
39.38,56.05,9,126,sick
38.36,73.28,2,112,sick
38.57,47.51,1,98,sick
37.93,78.57,5,115,sick
37.86,45.15,3,87,healthy
39.27,54.87,4,98,healthy
39.65,74.64,2,84,healthy
38.65,57.65,5,80,healthy
39.4,49.08,2,69,healthy
38.95,59.41,7,102,healthy
38.25,55.82,8,74,healthy
38.95,78.71,3,107,healthy
39.78,57.53,8,80,healthy
38.67,76.56,6,119,sick
39.8,80.67,2,109,healthy
36.87,62.35,6,82,healthy
39.28,81.4,0,72,sick
38.76,60.09,2,128,sick
38.49,83.56,5,63,healthy
38.76,48.57,3,68,healthy
37.31,72.48,6,94,healthy
38.55,64.75,2,80,healthy
38.95,60.51,0,117,sick
39.73,70.31,8,77,healthy
38.34,73.15,5,102,healthy
38.13,45.17,7,65,healthy
38.35,51.68,2,126,sick
39.34,73.52,7,71,healthy
38.93,71.66,1,71,sick
38.33,83.64,3,125,sick
39.06,75.44,2,61,healthy
38.77,83.03,9,74,healthy
39.38,73.1,0,82,sick
38.21,56.92,6,88,healthy
38.47,49.21,9,66,healthy
38.43,76.27,1,87,sick
37.68,70.77,3,73,healthy
38.91,46.93,8,103,healthy
38.88,59.4,5,89,healthy
38.7,83.27,7,91,healthy
38.54,65.02,1,129,sick
37.71,62.31,6,65,healthy
38.41,63.31,5,86,healthy
38.46,53.36,8,83,healthy
38.14,59.75,6,93,healthy
38.59,59.79,0,99,sick
38.98,47.09,7,106,healthy
40.02,75.7,9,83,sick
38.82,61.66,2,124,sick
38.88,77.89,1,77,sick
38.65,79.01,2,103,healthy
37.36,53.48,5,116,sick
38.68,71.29,2,87,healthy
38.74,63.89,9,82,healthy
40.42,80.21,4,93,sick
38.57,53.63,5,70,healthy
38.91,72.11,7,94,healthy
38.68,69.31,6,101,healthy
37.88,56.81,7,87,healthy
39.5,50.46,2,83,healthy
39.23,71.07,3,67,healthy
39.25,74.54,5,112,sick
38.06,57.63,6,63,healthy
39.68,70.79,8,64,healthy
37.72,60.81,0,108,sick
39.11,73.53,7,89,healthy
40.23,52.97,7,122,sick
38.01,80.61,5,106,healthy
38.3,56.5,3,85,healthy
38.77,59.71,2,116,sick
38.35,47.32,2,96,healthy
37.61,49.46,5,66,healthy
38.75,65.63,7,99,healthy
37.96,55.7,6,98,healthy
39.03,78.42,0,121,sick
38.06,45.59,5,112,sick
39.78,60.16,6,63,healthy
38.15,58.49,6,84,healthy
38.47,45.77,8,66,healthy
39.27,49.97,9,87,healthy
37.84,61.55,4,128,sick
38.86,64.71,0,126,sick
39.61,61.17,1,79,sick
37.57,66.24,3,70,healthy
38.83,68.81,4,126,sick
38.88,45.4,8,66,healthy
39.25,63.56,0,82,sick
37.83,83.54,2,120,sick
37.78,65.76,4,93,healthy
39.07,72.1,2,78,healthy
38.91,57.47,3,117,sick
38.88,75.96,2,68,healthy
38.94,75.92,3,107,healthy
38.22,65.85,0,100,sick
38.86,84.04,7,107,healthy
38.91,50.02,3,104,healthy
38.2,45.68,6,84,healthy
40.01,75.81,1,84,sick
39.03,77.29,1,78,sick
37.87,49.81,5,98,healthy
39.16,55.62,1,86,sick
38.02,45.7,5,122,sick
39.25,56.73,1,127,sick
39.51,75.93,3,78,healthy
38.13,65.72,6,87,healthy
39.37,58.92,7,92,healthy
38.99,59.87,2,69,healthy
39.28,45.05,8,89,healthy
40.03,56.99,1,81,sick
38.53,70.86,7,62,healthy
38.17,83.97,7,107,healthy
38.08,78.88,3,61,healthy
38.13,45.94,0,113,sick
38.65,80.94,0,65,sick
38.94,76.33,1,99,sick
38.89,76.22,8,61,healthy
39.28,63.32,1,61,sick
38.71,60.92,1,114,sick
39.72,57.12,5,119,sick
38.51,47.63,6,65,healthy
40.6,54.13,6,78,sick
39.14,54.86,8,86,healthy
38.1,64.36,5,60,healthy
37.95,74.9,7,92,healthy
39.04,63.95,5,99,healthy
38.54,47.31,1,91,sick
39.2,83.31,0,128,sick
39.03,82.71,4,76,healthy
38.65,76.41,8,67,healthy
38.11,84.65,7,116,sick
37.64,66.78,3,101,healthy
38.39,83.51,4,68,healthy
39.3,48.02,4,94,healthy
38.85,59.63,5,112,sick
37.83,54.02,2,113,sick
38.82,52.83,4,84,healthy
38.97,50.63,1,126,sick
38.08,69.9,9,121,sick
38.81,76.25,0,114,sick
38.74,68.13,0,105,sick
37.9,50.88,9,83,healthy
38.95,77.44,6,105,healthy
39.09,70.44,1,81,sick
39.46,60.53,3,70,healthy
39.44,71.97,4,107,healthy
37.74,55.4,6,67,healthy
38.04,58.81,1,98,sick
39.06,81.7,5,94,healthy
39.06,56.62,0,108,sick
39.06,63.8,6,105,healthy
41.4,80.61,8,97,sick
39.1,73.31,4,67,healthy
39.49,47.49,4,113,sick
39.37,50.89,3,96,healthy
39.16,45.31,2,99,healthy
38.48,70.24,8,93,healthy
39.23,62.91,4,76,healthy
38.16,50.37,7,92,healthy
38.53,83.32,8,106,healthy
38.36,66.19,4,111,sick
38.76,54.68,9,68,healthy
40.32,65.02,8,92,sick
37.39,72.18,1,119,sick
39.18,48.05,8,80,healthy
37.57,55.99,3,117,sick
38.37,77.28,5,128,sick
39.46,63.39,5,69,healthy
38.74,66.86,5,65,healthy
37.95,62.31,1,72,sick
38.2,46.76,6,124,sick
39.18,51.63,5,79,healthy
38.19,62.82,0,116,sick
38.85,53.37,1,105,sick
38.73,47.0,6,67,healthy
38.24,78.75,0,69,sick
40.2,84.25,0,126,sick
39.14,76.73,0,70,sick
37.28,79.15,7,71,healthy
38.83,54.68,3,69,healthy
38.24,83.43,3,84,healthy
39.3,52.88,1,108,sick
38.15,83.06,0,108,sick
38.62,84.79,9,70,healthy
39.05,73.47,8,121,sick
39.31,84.25,6,95,healthy
37.86,67.78,3,98,healthy
38.47,55.38,5,112,sick
38.37,62.48,1,115,sick
38.24,68.74,6,60,healthy
39.94,47.92,1,115,sick
38.98,69.89,9,63,healthy
37.82,84.25,7,89,healthy
39.34,52.6,7,71,healthy
40.19,76.7,0,94,sick
39.42,81.32,7,111,sick
37.64,82.75,1,90,sick
38.36,83.41,5,127,sick
39.59,65.86,0,111,sick
38.2,84.09,4,66,healthy
39.01,75.29,6,81,healthy
39.24,51.47,9,115,sick
38.05,64.08,0,117,sick
38.66,73.73,1,123,sick
36.43,54.89,6,71,healthy
37.98,70.62,5,66,healthy
38.52,71.66,2,114,sick
37.83,51.51,9,121,sick
39.84,67.6,1,114,sick
37.7,75.87,9,95,healthy
38.39,64.96,3,83,healthy
38.79,45.48,2,103,healthy
39.71,45.36,6,76,healthy
37.69,59.28,7,61,healthy
39.51,82.05,1,72,sick
38.71,54.15,9,90,healthy
38.01,70.37,6,87,healthy
39.02,53.88,7,119,sick
38.84,57.87,5,86,healthy
38.28,78.92,5,74,healthy
38.75,74.15,9,92,healthy
38.43,48.82,0,79,sick
38.78,62.15,3,101,healthy
39.16,46.17,0,71,sick
39.81,64.24,3,82,healthy
37.83,71.5,1,73,sick
40.19,49.74,4,84,sick
37.33,56.56,9,90,healthy
38.59,60.91,8,113,sick
39.11,81.78,9,64,healthy
38.9,84.73,2,72,healthy
38.26,46.8,7,87,healthy
38.55,75.44,2,102,healthy
38.35,59.87,5,106,healthy
